"Time","PulseRate","SpO2","PulseWaveform","BarGraph","SignalStrength","Beep","FingerOut","Searching","DroppingSpO2","ProbeError"
"2019-10-13 01:46:37.480669",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.497352",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.514011",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.530658",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.547361",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.564137",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.580782",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.597540",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.614162",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.630964",0,0,4,0,4,False,False,False,False,False
"2019-10-13 01:46:37.647495",0,0,7,0,4,False,False,False,False,False
"2019-10-13 01:46:37.664297",0,0,10,1,4,False,False,False,False,False
"2019-10-13 01:46:37.681105",0,0,12,1,4,False,False,False,False,False
"2019-10-13 01:46:37.697707",0,0,14,1,4,False,False,False,False,False
"2019-10-13 01:46:37.714443",0,0,15,1,4,False,False,False,False,False
"2019-10-13 01:46:37.731198",0,0,16,2,4,False,False,False,False,False
"2019-10-13 01:46:37.764628",0,0,18,2,4,False,False,False,False,False
"2019-10-13 01:46:37.781241",0,0,20,2,4,False,False,False,False,False
"2019-10-13 01:46:37.797972",0,0,24,3,4,False,False,False,False,False
"2019-10-13 01:46:37.814833",0,0,34,4,4,False,False,False,False,False
"2019-10-13 01:46:37.831363",0,0,48,6,4,False,False,False,False,False
"2019-10-13 01:46:37.848101",0,0,66,8,4,False,False,False,False,False
"2019-10-13 01:46:37.864664",0,0,85,10,4,False,False,False,False,False
"2019-10-13 01:46:37.881514",0,0,104,13,4,False,False,False,False,False
"2019-10-13 01:46:37.898161",0,0,119,14,4,False,False,False,False,False
"2019-10-13 01:46:37.914882",0,0,127,15,4,False,False,False,False,False
"2019-10-13 01:46:37.931636",0,0,127,15,4,False,False,False,False,False
"2019-10-13 01:46:37.948235",0,0,127,15,4,False,False,False,False,False
"2019-10-13 01:46:37.964903",0,0,124,15,4,False,False,False,False,False
"2019-10-13 01:46:37.981748",0,0,118,14,5,True,False,False,False,False
"2019-10-13 01:46:37.998356",0,0,76,9,5,True,False,False,False,False
"2019-10-13 01:46:38.015041",0,0,74,9,5,False,False,False,False,False
"2019-10-13 01:46:38.031718",0,0,71,8,5,False,False,False,False,False
"2019-10-13 01:46:38.048374",0,0,68,8,5,False,False,False,False,False
"2019-10-13 01:46:38.065230",0,0,66,8,5,False,False,False,False,False
"2019-10-13 01:46:38.081795",0,0,63,7,5,False,False,False,False,False
"2019-10-13 01:46:38.098621",0,0,61,7,5,False,False,False,False,False
"2019-10-13 01:46:38.115219",0,0,59,7,5,False,False,False,False,False
"2019-10-13 01:46:38.131973",0,0,58,7,5,False,False,False,False,False
"2019-10-13 01:46:38.148639",0,0,58,7,5,False,False,False,False,False
"2019-10-13 01:46:38.165406",0,0,57,7,5,False,False,False,False,False
"2019-10-13 01:46:38.182111",0,0,57,7,5,False,False,False,False,False
"2019-10-13 01:46:38.198700",0,0,56,7,5,False,False,False,False,False
"2019-10-13 01:46:38.215463",0,0,55,6,5,False,False,False,False,False
"2019-10-13 01:46:38.232197",0,0,53,6,5,False,False,False,False,False
"2019-10-13 01:46:38.248957",0,0,51,6,5,False,False,False,False,False
"2019-10-13 01:46:38.265570",0,0,48,6,5,False,False,False,False,False
"2019-10-13 01:46:38.282263",0,0,45,5,5,False,False,False,False,False
"2019-10-13 01:46:38.298917",0,0,42,5,5,False,False,False,False,False
"2019-10-13 01:46:38.315778",0,0,40,5,5,False,False,False,False,False
"2019-10-13 01:46:38.332376",0,0,38,4,5,False,False,False,False,False
"2019-10-13 01:46:38.348957",0,0,36,4,5,False,False,False,False,False
"2019-10-13 01:46:38.365636",0,0,34,4,5,False,False,False,False,False
"2019-10-13 01:46:38.382480",0,0,32,4,5,False,False,False,False,False
"2019-10-13 01:46:38.399118",0,0,31,3,5,False,False,False,False,False
"2019-10-13 01:46:38.415781",0,0,30,3,5,False,False,False,False,False
"2019-10-13 01:46:38.432616",0,0,29,3,5,False,False,False,False,False
"2019-10-13 01:46:38.449219",0,0,28,3,5,False,False,False,False,False
"2019-10-13 01:46:38.466022",0,0,27,3,5,False,False,False,False,False
"2019-10-13 01:46:38.482728",0,0,26,3,5,False,False,False,False,False
"2019-10-13 01:46:38.499367",0,0,26,3,5,False,False,False,False,False
"2019-10-13 01:46:38.516048",0,0,26,3,5,False,False,False,False,False
"2019-10-13 01:46:38.532740",0,0,26,3,5,False,False,False,False,False
"2019-10-13 01:46:38.549421",0,0,26,3,5,False,False,False,False,False
"2019-10-13 01:46:38.566252",0,0,27,3,5,False,False,False,False,False
"2019-10-13 01:46:38.582878",0,0,28,3,5,False,False,False,False,False
"2019-10-13 01:46:38.599618",0,0,29,3,5,False,False,False,False,False
"2019-10-13 01:46:38.616224",0,0,31,3,5,False,False,False,False,False
"2019-10-13 01:46:38.632998",0,0,34,4,5,False,False,False,False,False
"2019-10-13 01:46:38.649626",0,0,38,4,5,False,False,False,False,False
"2019-10-13 01:46:38.666356",0,0,42,5,5,False,False,False,False,False
"2019-10-13 01:46:38.683020",0,0,50,6,5,False,False,False,False,False
"2019-10-13 01:46:38.699657",0,0,57,7,5,False,False,False,False,False
"2019-10-13 01:46:38.716518",0,0,65,8,5,False,False,False,False,False
"2019-10-13 01:46:38.733171",0,0,70,8,5,False,False,False,False,False
"2019-10-13 01:46:38.749934",0,0,74,9,5,False,False,False,False,False
"2019-10-13 01:46:38.766600",0,0,74,9,5,False,False,False,False,False
"2019-10-13 01:46:38.783300",94,98,71,8,5,True,False,False,False,False
"2019-10-13 01:46:38.799948",94,98,68,8,5,True,False,False,False,False
"2019-10-13 01:46:38.816746",94,98,63,7,5,False,False,False,False,False
"2019-10-13 01:46:38.833303",94,98,59,7,5,False,False,False,False,False
"2019-10-13 01:46:38.850084",94,98,56,7,5,False,False,False,False,False
"2019-10-13 01:46:38.866675",94,98,52,6,5,False,False,False,False,False
"2019-10-13 01:46:38.883482",94,98,49,6,5,False,False,False,False,False
"2019-10-13 01:46:38.900097",94,98,47,5,5,False,False,False,False,False
"2019-10-13 01:46:38.916855",94,98,44,5,5,False,False,False,False,False
"2019-10-13 01:46:38.933549",94,98,43,5,5,False,False,False,False,False
"2019-10-13 01:46:38.950258",94,98,41,5,5,False,False,False,False,False
"2019-10-13 01:46:38.966966",94,98,41,5,5,False,False,False,False,False
"2019-10-13 01:46:38.983676",94,98,41,5,5,False,False,False,False,False
"2019-10-13 01:46:39.000386",94,98,42,5,5,False,False,False,False,False
"2019-10-13 01:46:39.017082",94,98,43,5,5,False,False,False,False,False
"2019-10-13 01:46:39.033762",94,98,44,5,5,False,False,False,False,False
"2019-10-13 01:46:39.050551",94,98,44,5,5,False,False,False,False,False
"2019-10-13 01:46:39.067249",94,98,44,5,5,False,False,False,False,False
"2019-10-13 01:46:39.083848",94,98,43,5,5,False,False,False,False,False
"2019-10-13 01:46:39.100647",94,98,42,5,5,False,False,False,False,False
"2019-10-13 01:46:39.117232",94,98,41,5,5,False,False,False,False,False
"2019-10-13 01:46:39.133981",94,98,40,5,5,False,False,False,False,False
"2019-10-13 01:46:39.150720",94,98,39,4,5,False,False,False,False,False
"2019-10-13 01:46:39.167321",94,98,37,4,5,False,False,False,False,False
"2019-10-13 01:46:39.184135",94,98,36,4,5,False,False,False,False,False
"2019-10-13 01:46:39.200732",94,98,35,4,5,False,False,False,False,False
"2019-10-13 01:46:39.217512",94,98,34,4,5,False,False,False,False,False
"2019-10-13 01:46:39.234207",94,98,33,4,5,False,False,False,False,False
"2019-10-13 01:46:39.250878",94,98,32,4,5,False,False,False,False,False
"2019-10-13 01:46:39.267627",94,98,32,4,5,False,False,False,False,False
"2019-10-13 01:46:39.284277",94,98,32,4,5,False,False,False,False,False
"2019-10-13 01:46:39.300980",94,98,32,4,5,False,False,False,False,False
"2019-10-13 01:46:39.317782",94,98,32,4,5,False,False,False,False,False
"2019-10-13 01:46:39.334384",94,98,32,4,5,False,False,False,False,False
"2019-10-13 01:46:39.351009",94,98,32,4,5,False,False,False,False,False
"2019-10-13 01:46:39.367743",94,98,31,3,5,False,False,False,False,False
"2019-10-13 01:46:39.384500",94,98,31,3,5,False,False,False,False,False
"2019-10-13 01:46:39.401114",94,98,30,3,5,False,False,False,False,False
"2019-10-13 01:46:39.417859",94,98,29,3,5,False,False,False,False,False
"2019-10-13 01:46:39.434638",94,98,29,3,5,False,False,False,False,False
"2019-10-13 01:46:39.451237",94,98,28,3,5,False,False,False,False,False
"2019-10-13 01:46:39.468176",94,98,27,3,5,False,False,False,False,False
"2019-10-13 01:46:39.484704",94,98,27,3,5,False,False,False,False,False
"2019-10-13 01:46:39.501372",94,98,30,3,5,False,False,False,False,False
"2019-10-13 01:46:39.518070",94,98,34,4,5,False,False,False,False,False
"2019-10-13 01:46:39.534664",94,98,40,5,5,False,False,False,False,False
"2019-10-13 01:46:39.551477",94,98,47,5,5,False,False,False,False,False
"2019-10-13 01:46:39.568190",94,98,55,6,5,False,False,False,False,False
"2019-10-13 01:46:39.584823",94,98,61,7,5,False,False,False,False,False
"2019-10-13 01:46:39.601536",94,98,65,8,5,False,False,False,False,False
"2019-10-13 01:46:39.618137",94,98,66,8,5,False,False,False,False,False
"2019-10-13 01:46:39.635157",94,98,65,8,5,False,False,False,False,False
"2019-10-13 01:46:39.651739",94,98,62,7,5,True,False,False,False,False
"2019-10-13 01:46:39.668312",94,98,59,7,5,True,False,False,False,False
"2019-10-13 01:46:39.685112",94,98,56,7,5,False,False,False,False,False
"2019-10-13 01:46:39.701796",94,98,53,6,5,False,False,False,False,False
"2019-10-13 01:46:39.718477",94,98,51,6,5,False,False,False,False,False
"2019-10-13 01:46:39.735126",94,98,49,6,5,False,False,False,False,False
"2019-10-13 01:46:39.751775",94,98,47,5,5,False,False,False,False,False
"2019-10-13 01:46:39.768536",94,98,46,5,5,False,False,False,False,False
"2019-10-13 01:46:39.785203",94,98,45,5,5,False,False,False,False,False
"2019-10-13 01:46:39.802034",94,98,44,5,5,False,False,False,False,False
"2019-10-13 01:46:39.818743",94,98,44,5,5,False,False,False,False,False
"2019-10-13 01:46:39.835230",94,98,44,5,5,False,False,False,False,False
"2019-10-13 01:46:39.852066",94,98,45,5,5,False,False,False,False,False
"2019-10-13 01:46:39.868794",94,98,45,5,5,False,False,False,False,False
